Dual_Plate_ID,i7_Plate_ID,i5_Plate_ID
Dual-063,CZB-TRUSEQ-8-12BP-i7-PLATE-003,CZB-TRUSEQ-8-12BP-i5-PLATE-008
Dual-064,CZB-TRUSEQ-8-12BP-i7-PLATE-004,CZB-TRUSEQ-8-12BP-i5-PLATE-009
Dual-065,CZB-TRUSEQ-8-12BP-i7-PLATE-005,CZB-TRUSEQ-8-12BP-i5-PLATE-010
Dual-066,CZB-TRUSEQ-8-12BP-i7-PLATE-006,CZB-TRUSEQ-8-12BP-i5-PLATE-011
Dual-067,CZB-TRUSEQ-8-12BP-i7-PLATE-007,CZB-TRUSEQ-8-12BP-i5-PLATE-012
Dual-068,CZB-TRUSEQ-8-12BP-i7-PLATE-008,CZB-TRUSEQ-8-12BP-i5-PLATE-001
Dual-069,CZB-TRUSEQ-8-12BP-i7-PLATE-009,CZB-TRUSEQ-8-12BP-i5-PLATE-002
Dual-070,CZB-TRUSEQ-8-12BP-i7-PLATE-010,CZB-TRUSEQ-8-12BP-i5-PLATE-003
Dual-071,CZB-TRUSEQ-8-12BP-i7-PLATE-011,CZB-TRUSEQ-8-12BP-i5-PLATE-004
Dual-072,CZB-TRUSEQ-8-12BP-i7-PLATE-012,CZB-TRUSEQ-8-12BP-i5-PLATE-005
Dual-073,CZB-TRUSEQ-8-12BP-i7-PLATE-001,CZB-TRUSEQ-8-12BP-i5-PLATE-007
Dual-074,CZB-TRUSEQ-8-12BP-i7-PLATE-002,CZB-TRUSEQ-8-12BP-i5-PLATE-008
Dual-075,CZB-TRUSEQ-8-12BP-i7-PLATE-003,CZB-TRUSEQ-8-12BP-i5-PLATE-009
Dual-076,CZB-TRUSEQ-8-12BP-i7-PLATE-004,CZB-TRUSEQ-8-12BP-i5-PLATE-010
Dual-077,CZB-TRUSEQ-8-12BP-i7-PLATE-005,CZB-TRUSEQ-8-12BP-i5-PLATE-011
Dual-078,CZB-TRUSEQ-8-12BP-i7-PLATE-006,CZB-TRUSEQ-8-12BP-i5-PLATE-012
Dual-079,CZB-TRUSEQ-8-12BP-i7-PLATE-007,CZB-TRUSEQ-8-12BP-i5-PLATE-001
Dual-080,CZB-TRUSEQ-8-12BP-i7-PLATE-008,CZB-TRUSEQ-8-12BP-i5-PLATE-002
